"Point.id","Lon","Lat","Ran","PETmin","TOPOG"
134,-8254805.54136,2833605.80355,NA,NA,NA
135,-8154805.54136,2833605.80355,NA,NA,NA
136,-8054805.54136,2833605.80355,NA,NA,NA
137,-7954805.54136,2833605.80355,NA,NA,NA
138,-7854805.54136,2833605.80355,NA,NA,NA
139,-7754805.54136,2833605.80355,NA,NA,NA
140,-7654805.54136,2833605.80355,NA,NA,NA
141,-7554805.54136,2833605.80355,NA,NA,NA
142,-7454805.54136,2833605.80355,NA,NA,NA
143,-7354805.54136,2833605.80355,NA,NA,NA
144,-7254805.54136,2833605.80355,NA,NA,NA
145,-7154805.54136,2833605.80355,NA,NA,NA
146,-7054805.54136,2833605.80355,NA,NA,NA
147,-6954805.54136,2833605.80355,NA,NA,NA
148,-6854805.54136,2833605.80355,NA,NA,NA
149,-6754805.54136,2833605.80355,NA,NA,NA
150,-6654805.54136,2833605.80355,NA,NA,NA
151,-6554805.54136,2833605.80355,NA,NA,NA
152,-6454805.54136,2833605.80355,NA,NA,NA
153,-6354805.54136,2833605.80355,NA,NA,NA
154,-6254805.54136,2833605.80355,NA,NA,NA
155,-6154805.54136,2833605.80355,NA,NA,NA
156,-6054805.54136,2833605.80355,NA,NA,NA
157,-5954805.54136,2833605.80355,NA,NA,NA
158,-5854805.54136,2833605.80355,NA,NA,NA
159,-5754805.54136,2833605.80355,NA,NA,NA
160,-5654805.54136,2833605.80355,NA,NA,NA
161,-5554805.54136,2833605.80355,NA,NA,NA
162,-5454805.54136,2833605.80355,NA,NA,NA
163,-5354805.54136,2833605.80355,NA,NA,NA
164,-5254805.54136,2833605.80355,NA,NA,NA
165,-5154805.54136,2833605.80355,NA,NA,NA
166,-5054805.54136,2833605.80355,NA,NA,NA
167,-4954805.54136,2833605.80355,NA,NA,NA
168,-4854805.54136,2833605.80355,NA,NA,NA
169,-10354805.5414,2733605.80355,NA,NA,NA
180,-9254805.54136,2733605.80355,NA,NA,NA
181,-9154805.54136,2733605.80355,NA,NA,NA
182,-9054805.54136,2733605.80355,NA,NA,NA
183,-8954805.54136,2733605.80355,NA,NA,NA
184,-8854805.54136,2733605.80355,NA,NA,NA
185,-8754805.54136,2733605.80355,NA,NA,NA
186,-8654805.54136,2733605.80355,NA,NA,NA
187,-8554805.54136,2733605.80355,NA,NA,NA
188,-8454805.54136,2733605.80355,NA,NA,NA
189,-8354805.54136,2733605.80355,NA,NA,NA
190,-8254805.54136,2733605.80355,NA,NA,NA
191,-8154805.54136,2733605.80355,NA,NA,NA
192,-8054805.54136,2733605.80355,NA,NA,NA
193,-7954805.54136,2733605.80355,NA,NA,NA
194,-7854805.54136,2733605.80355,NA,NA,NA
195,-7754805.54136,2733605.80355,NA,NA,NA
196,-7654805.54136,2733605.80355,NA,NA,NA
197,-7554805.54136,2733605.80355,NA,NA,NA
198,-7454805.54136,2733605.80355,NA,NA,NA
199,-7354805.54136,2733605.80355,NA,NA,NA
200,-7254805.54136,2733605.80355,NA,NA,NA
201,-7154805.54136,2733605.80355,NA,NA,NA
202,-7054805.54136,2733605.80355,NA,NA,NA
203,-6954805.54136,2733605.80355,NA,NA,NA
204,-6854805.54136,2733605.80355,NA,NA,NA
205,-6754805.54136,2733605.80355,NA,NA,NA
206,-6654805.54136,2733605.80355,NA,NA,NA
207,-6554805.54136,2733605.80355,NA,NA,NA
208,-6454805.54136,2733605.80355,NA,NA,NA
209,-6354805.54136,2733605.80355,NA,NA,NA
210,-6254805.54136,2733605.80355,NA,NA,NA
211,-6154805.54136,2733605.80355,NA,NA,NA
212,-6054805.54136,2733605.80355,NA,NA,NA
213,-5954805.54136,2733605.80355,NA,NA,NA
214,-5854805.54136,2733605.80355,NA,NA,NA
215,-5754805.54136,2733605.80355,NA,NA,NA
216,-5654805.54136,2733605.80355,NA,NA,NA
217,-5554805.54136,2733605.80355,NA,NA,NA
218,-5454805.54136,2733605.80355,NA,NA,NA
219,-5354805.54136,2733605.80355,NA,NA,NA
220,-5254805.54136,2733605.80355,NA,NA,NA
221,-5154805.54136,2733605.80355,NA,NA,NA
222,-5054805.54136,2733605.80355,NA,NA,NA
223,-4954805.54136,2733605.80355,NA,NA,NA
224,-4854805.54136,2733605.80355,NA,NA,NA
225,-10354805.5414,2633605.80355,NA,NA,NA
226,-10254805.5414,2633605.80355,NA,NA,NA
236,-9254805.54136,2633605.80355,NA,NA,NA
237,-9154805.54136,2633605.80355,NA,NA,NA
238,-9054805.54136,2633605.80355,NA,NA,NA
239,-8954805.54136,2633605.80355,NA,NA,NA
240,-8854805.54136,2633605.80355,NA,NA,NA
246,-8254805.54136,2633605.80355,NA,NA,NA
247,-8154805.54136,2633605.80355,NA,NA,NA
248,-8054805.54136,2633605.80355,NA,NA,NA
249,-7954805.54136,2633605.80355,NA,NA,NA
250,-7854805.54136,2633605.80355,NA,NA,NA
251,-7754805.54136,2633605.80355,NA,NA,NA
252,-7654805.54136,2633605.80355,NA,NA,NA
253,-7554805.54136,2633605.80355,NA,NA,NA
254,-7454805.54136,2633605.80355,NA,NA,NA
255,-7354805.54136,2633605.80355,NA,NA,NA
256,-7254805.54136,2633605.80355,NA,NA,NA
257,-7154805.54136,2633605.80355,NA,NA,NA
258,-7054805.54136,2633605.80355,NA,NA,NA
259,-6954805.54136,2633605.80355,NA,NA,NA
260,-6854805.54136,2633605.80355,NA,NA,NA
261,-6754805.54136,2633605.80355,NA,NA,NA
262,-6654805.54136,2633605.80355,NA,NA,NA
263,-6554805.54136,2633605.80355,NA,NA,NA
264,-6454805.54136,2633605.80355,NA,NA,NA
265,-6354805.54136,2633605.80355,NA,NA,NA
266,-6254805.54136,2633605.80355,NA,NA,NA
267,-6154805.54136,2633605.80355,NA,NA,NA
268,-6054805.54136,2633605.80355,NA,NA,NA
269,-5954805.54136,2633605.80355,NA,NA,NA
270,-5854805.54136,2633605.80355,NA,NA,NA
271,-5754805.54136,2633605.80355,NA,NA,NA
272,-5654805.54136,2633605.80355,NA,NA,NA
273,-5554805.54136,2633605.80355,NA,NA,NA
274,-5454805.54136,2633605.80355,NA,NA,NA
275,-5354805.54136,2633605.80355,NA,NA,NA
276,-5254805.54136,2633605.80355,NA,NA,NA
277,-5154805.54136,2633605.80355,NA,NA,NA
278,-5054805.54136,2633605.80355,NA,NA,NA
279,-4954805.54136,2633605.80355,NA,NA,NA
280,-4854805.54136,2633605.80355,NA,NA,NA
281,-10354805.5414,2533605.80355,NA,NA,NA
282,-10254805.5414,2533605.80355,NA,NA,NA
292,-9254805.54136,2533605.80355,NA,NA,NA
293,-9154805.54136,2533605.80355,NA,NA,NA
294,-9054805.54136,2533605.80355,NA,NA,NA
295,-8954805.54136,2533605.80355,NA,NA,NA
296,-8854805.54136,2533605.80355,NA,NA,NA
302,-8254805.54136,2533605.80355,NA,NA,NA
303,-8154805.54136,2533605.80355,NA,NA,NA
304,-8054805.54136,2533605.80355,NA,NA,NA
305,-7954805.54136,2533605.80355,NA,NA,NA
306,-7854805.54136,2533605.80355,NA,NA,NA
