gene_id	GSM158644.CEL	GSM158645.CEL	GSM158646.CEL	GSM241999.CEL	GSM242000.CEL	GSM242001.CEL	GSM242002.CEL	GSM242003.CEL	GSM242004.CEL	GSM242005.CEL	GSM242006.CEL	GSM242007.CEL	GSM242008.CEL	GSM242009.CEL	GSM242010.CEL	GSM242011.CEL	GSM242012.CEL	GSM242013.CEL	GSM398074.CEL	GSM398076.CEL	GSM398078.CEL	GSM398080.CEL	GSM398082.CEL	GSM398084.CEL	GSM398086.CEL	GSM398088.CEL	GSM398090.CEL	GSM398092.CEL	GSM398094.CEL	GSM398096.CEL	GSM398098.CEL	GSM398100.CEL	GSM398102.CEL	GSM398104.CEL	GSM398106.CEL	GSM398108.CEL	GSM398110.CEL	GSM398112.CEL	GSM398114.CEL	GSM398116.CEL	GSM398118.CEL	GSM398120.CEL	GSM398122.CEL	GSM398124.CEL	GSM398126.CEL	GSM398128.CEL	GSM398130.CEL	GSM398132.CEL	GSM398134.CEL
200909_s_at	11.6993	11.542	11.5431	11.7869	11.989	11.3664	11.5988	11.6002	11.4854	11.7032	11.9924	11.9709	11.7877	12.3772	11.4238	11.499	12.2311	12.5028	7.90028	7.72282	8.55667	7.89306	8.65893	8.58047	7.3804	8.38726	8.03195	8.57689	8.45125	7.38464	7.23883	7.619	9.12475	8.85682	8.7146	8.39837	9.90223	8.4865	8.03346	9.20665	8.60417	8.49596	8.82159	8.45109	8.76171	8.43714	7.61761	7.74394	8.06246
200912_s_at	11.8954	11.67	12.0398	11.9617	12.1178	12.619	12.504	12.6454	12.2105	12.3453	12.8628	12.4879	12.7382	12.1317	12.5527	12.465	12.4929	12.1427	8.83356	8.77533	9.23212	8.88733	9.43089	9.6155	9.64251	8.70207	8.73969	8.68296	9.10753	10.0427	9.19423	8.87223	9.89749	9.66693	9.56715	10.1846	9.83226	9.80498	9.77936	10.5197	10.1737	9.16702	8.94785	9.78572	9.86241	10.2325	9.38792	9.21115	9.41279
200937_s_at	11.0992	10.8086	12.5864	12.3413	12.5642	12.5249	12.3827	11.8221	11.6154	12.1663	12.622	12.5028	13.0634	12.5528	12.1986	11.6301	12.5167	12.9611	9.27989	8.67542	9.44597	8.76786	9.56777	9.75521	10.2495	9.18985	8.78245	9.13366	9.19052	9.82282	9.27181	9.19637	9.99018	9.79037	9.82028	9.59004	10.224	9.9556	9.68661	10.956	9.84815	9.44705	9.37846	9.75951	9.93659	10.1521	9.65043	9.15179	8.73948
200949_x_at	11.4049	11.1655	11.4888	11.833	11.7804	11.709	11.2717	11.7249	11.5977	12.4888	11.8997	11.8298	11.8224	12.2233	11.2705	11.6809	11.9533	12.5461	9.09761	8.92671	8.88913	9.15649	9.52021	9.4974	9.53068	9.21559	9.09899	9.0435	8.97482	9.6901	9.05189	8.1191	9.74495	9.79758	9.55036	9.73835	9.91286	9.45412	9.26799	10.2673	9.28248	9.7928	9.29195	8.95819	9.64716	9.75132	9.32033	9.37777	8.92425
200997_at	8.50598	8.48591	10.2744	9.66949	9.89761	10.0249	10.2167	9.80311	9.71365	9.26202	10.6482	10.4413	10.1258	9.85038	10.311	9.66734	10.126	10.3836	7.75549	7.69173	7.57353	7.59984	7.74678	8.01818	7.79081	7.78171	7.70446	7.65463	7.77672	7.88151	7.73073	8.31094	8.34845	8.48303	8.24815	7.97827	8.5348	7.70237	7.90144	8.43423	8.22852	7.84352	7.72207	7.93891	8.23267	8.02247	7.96292	8.12874	7.95628
201001_s_at	8.47601	8.65924	8.48653	9.41772	9.14788	8.73627	8.78538	9.67864	9.3938	8.81362	8.6409	9.17771	8.73658	9.83049	8.87909	9.66629	8.80625	7.43808	8.17272	8.09229	7.74151	7.95725	8.16433	7.82793	7.87433	8.28847	8.39329	7.76735	8.40328	8.17184	7.73905	9.44253	7.47239	7.45921	7.32703	8.0813	7.3535	8.24858	8.37258	7.9845	8.33228	8.19326	7.9647	7.5592	7.64419	7.66485	8.09982	7.96884	7.28901
201002_s_at	9.79754	9.69951	10.555	10.3104	10.2689	10.333	10.0485	10.0795	10.054	9.68382	9.54624	9.76604	9.83858	9.56138	9.61244	10.1073	9.49888	9.52679	8.4695	8.08265	7.87561	8.03739	7.82714	8.16858	8.10164	8.3106	8.59851	8.76964	8.49444	7.87489	8.25038	8.17812	7.89247	7.82607	8.16024	7.85676	8.2968	8.4488	8.32399	8.24404	8.34814	8.44954	8.46322	7.95969	8.27647	8.10566	8.31269	7.8691	8.13175
201003_x_at	10.195	10.2749	9.86153	9.34922	8.47158	9.07059	8.7497	9.39265	9.36389	9.21179	9.05643	9.02715	9.28112	8.74332	8.99286	9.44583	8.96222	9.56754	8.25714	8.25982	8.85161	8.316	8.42179	8.3701	7.96405	7.97076	7.94449	7.89528	8.12238	8.88381	8.60852	7.8183	7.93086	8.12758	8.20027	8.38988	8.02987	8.27691	7.77054	8.41868	8.46311	8.41311	8.21855	8.46237	8.10419	8.40249	8.3861	8.08394	7.99084
201065_s_at	9.51352	9.49026	10.1861	10.233	10.2612	10.3732	10.2375	10.3274	10.4781	10.0587	10.3732	10.3733	10.7229	10.2814	10.5842	10.3904	10.2375	10.2372	7.66907	7.57802	8.04518	7.75704	7.8794	8.3452	8.06682	7.65359	7.91114	7.96068	7.80014	7.93931	7.97291	7.67421	8.28584	7.98823	7.93433	8.76522	8.53456	8.04986	8.11319	8.95766	8.35091	8.16863	7.71595	8.66057	8.22862	8.34381	7.92904	8.02531	8.1924
201077_s_at	10.0941	9.96881	10.2899	9.34303	9.43245	9.4684	9.22641	9.21492	9.30681	9.31256	9.65642	9.80937	9.11452	9.30873	9.27475	9.60572	9.60853	9.21611	7.14334	6.76315	7.01458	7.12359	7.11638	7.38934	7.21205	7.39744	6.7631	7.15763	7.12098	7.08987	6.88657	7.04308	7.47296	7.39296	7.5339	7.22044	7.54086	7.06417	7.04437	7.61818	7.36642	6.9795	7.30143	7.01362	7.39339	7.29726	6.99168	7.24742	7.30226
201103_x_at	9.47909	9.21617	10.6494	11.3278	11.4029	11.3505	11.4807	11.5931	11.7976	11.6076	11.1757	11.3545	11.7527	11.0156	11.9593	11.7002	12.0922	12.0076	8.83818	9.20645	9.34107	9.30162	8.93549	9.53318	9.24569	8.76536	9.03512	8.95447	8.99516	9.89367	9.3131	8.87252	9.32098	9.52519	9.3974	9.76683	9.60995	10.1476	10.0936	10.0688	9.36237	9.40573	9.17114	9.37584	9.8503	10.1001	8.83961	8.86523	9.84387
201104_x_at	8.79679	8.6502	8.87248	8.3052	9.00905	9.04797	9.31674	9.24987	8.99461	9.18185	9.38326	9.1889	9.5199	8.7633	9.28112	9.2537	9.32216	10.4039	9.50231	9.39673	9.39525	9.55529	9.60957	9.70432	9.29923	9.63798	9.79914	9.70947	9.55627	9.56711	9.33672	9.24981	9.6152	9.49894	9.599	9.12666	9.67524	9.38809	9.63598	9.63913	9.65275	9.47497	9.9302	9.68445	9.6666	9.67113	9.67597	9.46922	9.43182
201132_at	7.88133	7.15475	8.00159	7.88514	7.79586	8.81431	8.31782	6.45445	7.47003	7.24798	9.11535	8.16743	9.08612	8.31142	9.6698	7.24204	8.73452	8.69778	4.71194	4.94695	5.14239	4.93797	5.27864	5.61258	5.73571	4.60638	5.20704	5.35596	4.85679	5.77424	5.27292	5.45674	5.85327	5.972	5.67384	5.82738	6.14669	5.97363	6.36419	6.80151	6.16341	5.04994	5.15262	6.14481	5.92324	6.07342	5.62558	5.22865	5.44379
201154_x_at	12.0693	11.8883	12.5789	11.6087	11.7959	11.353	11.701	11.0784	11.1468	11.6624	12.2216	11.9451	12.1904	12.1395	11.3295	11.222	12.1438	12.8957	8.69362	8.64467	9.36129	8.12398	9.34143	9.44579	9.71434	8.71474	8.67176	8.5928	9.04923	9.51293	8.90022	8.87826	9.84642	9.39673	9.0973	9.33461	9.68474	9.74183	9.16993	10.2037	9.71242	9.41617	9.34935	9.26445	9.69516	9.66652	9.02693	9.12278	8.54319
201217_x_at	13.2062	13.0769	13.5648	12.2352	12.1742	12.1441	12.0597	12.122	12.1773	12.2933	12.9098	12.6445	12.7993	12.6462	12.6081	12.1778	13.0448	14.1735	9.6354	9.2037	10.002	9.01308	9.9015	10.0467	10.6831	9.22859	9.35201	9.20103	9.6038	10.6185	10.1532	10.0901	10.8048	10.6409	10.637	10.5538	10.6768	10.9029	10.2182	11.6413	10.6511	10.3765	10.2459	10.4694	10.5429	10.6901	10.2434	9.87015	9.60766
201257_x_at	13.4168	13.1471	13.3752	12.9907	12.887	13.0298	12.8746	12.1444	11.8449	12.9092	13.2509	12.8642	13.4152	13.398	12.803	12.0774	13.179	13.4216	10.3201	9.60078	9.99906	9.73304	10.283	10.4666	10.8589	9.65229	9.8625	9.63778	9.76667	10.9091	10.0133	9.88442	10.685	10.4578	10.4406	10.932	10.5908	10.846	10.7933	11.6259	10.8731	10.2157	10.3881	10.6468	10.6784	10.8473	10.1166	9.84925	9.57428
