cell	longitude	latitude	richness	npp_AVG	temp_AVG	prec_AVG	tempsea_AVG	presea_AVG	ele_RANGE
4811	-89.8	21.2	88	8.78E+11	236.6506245	2469.29793	1679.706437	56.27967508	2422
4812	-88.8	21.2	80	8.94E+11	257.1100533	2095.742074	1860.547733	58.94986462	1247
4813	-87.8	21.2	71	9.14E+11	255.1786182	1552.764608	1841.362652	55.26342912	389
4814	-86.8	21.2	65	9.49E+11	247.4785571	1602.320989	1739.073369	49.31146825	961
4815	-85.8	21.2	64	1.57E+11	251.5887559	2170.628058	1554.429464	49.84825612	565
4888	-96.8	20.2	53	3.97E+11	285.5811939	1230.900402	695.0813486	113.575317	1009
4889	-95.8	20.2	58	6.58E+11	263.6716494	1572.655786	1040.687106	109.6731747	1954
4890	-94.8	20.2	67	5.81E+11	201.0312691	1195.302559	1286.63927	98.50082977	2887
4891	-93.8	20.2	72	4.67E+11	202.4689902	914.9252271	1256.11443	97.78948288	3623
4892	-92.8	20.2	79	3.73E+11	257.3234589	1005.514812	1496.631126	106.0132869	2071
4893	-91.8	20.2	86	5.71E+11	240.0524081	1298.274691	1313.03271	97.94189934	2174
4894	-90.8	20.2	88	5.41E+11	227.958599	1223.65045	1491.853786	98.47672286	2387
4895	-89.8	20.2	92	7.81E+11	195.2747838	1846.900166	1217.757446	71.49847148	2410
4896	-88.8	20.2	87	9.61E+11	247.803651	2561.042799	1562.260372	64.0726701	1422
4897	-87.8	20.2	85	9.32E+11	245.8951874	1997.115381	1699.077125	49.47916849	575
4898	-86.8	20.2	75	6.61E+11	241.5336207	2440.372845	1506.800862	54.98534483	1072
4899	-85.8	20.2	66	0	257.4581498	2301.361233	1475.026432	52.66299559	352
4973	-95.8	19.2	52	79089532928	280.4102564	1349.34188	1054.179487	111.1709402	201
4974	-94.8	19.2	58	3.60E+11	256.7107028	1113.669583	849.6864975	103.9679207	2158
4975	-93.8	19.2	60	2.79E+11	257.0075598	974.8110038	905.1415372	104.3103738	2384
4977	-91.8	19.2	68	4.91E+11	260.5403818	1910.711698	1015.191385	98.98286833	1985
4978	-90.8	19.2	76	6.76E+11	224.9103005	2121.585988	1091.550869	90.97166908	3308
4979	-89.8	19.2	87	5.88E+11	179.5229278	1640.904883	1013.948292	79.57996332	3290
4980	-88.8	19.2	88	9.22E+11	215.7958774	2929.409206	1175.722945	56.64459778	2850
4981	-87.8	19.2	87	9.99E+11	243.9496026	2848.903922	1394.913006	57.51349463	2365
4982	-86.8	19.2	91	7.94E+11	251.668239	2326.605241	1550.879769	50.85293501	2066
4983	-85.8	19.2	86	7.58E+11	247.5156532	1721.627815	1476.442005	45.22545045	1998
4984	-84.8	19.2	79	7.13E+11	239.297782	1636.118688	1512.905262	46.02973101	2376
4985	-83.8	19.2	71	9.40E+11	248.0162706	1796.41702	1433.46879	41.74134701	1754
4986	-82.8	19.2	66	6.01E+11	267.6612186	2793.331332	1171.610296	44.73804759	1062
4987	-81.8	19.2	64	66980741120	265.7175421	2632.160555	977.5619425	47.3518335	51
5062	-90.8	18.2	66	5.73E+11	267.6668479	2496.893058	731.3277143	86.35870944	3764
5063	-89.8	18.2	67	4.48E+11	186.7128133	2195.241156	935.2558302	85.61621102	4128
5064	-88.8	18.2	69	6.44E+11	194.427985	1324.065595	1025.926456	87.62363525	3428
5065	-87.8	18.2	79	7.90E+11	218.7623373	1421.875448	1251.712551	80.89737095	2822
5066	-86.8	18.2	89	8.72E+11	212.8387632	1632.378985	1504.416718	69.30614027	2673
5067	-85.8	18.2	88	6.89E+11	220.9637523	1500.369115	1522.189187	62.47445192	2274
5068	-84.8	18.2	82	7.60E+11	228.497336	1306.665735	1514.605031	59.19416543	1931
5069	-83.8	18.2	77	9.49E+11	246.7467028	1861.609311	1282.957376	53.14927068	2118
